time_s,tension_kN,opb_interlink_angle_deg,ipb_interlink_angle_deg,opb_interlink_01_deg,ipb_interlink_01_deg,opb_interlink_02_deg,ipb_interlink_02_deg,opb_interlink_03_deg,ipb_interlink_03_deg,opb_interlink_04_deg,ipb_interlink_04_deg,opb_interlink_05_deg,ipb_interlink_05_deg,opb_interlink_06_deg,ipb_interlink_06_deg,opb_interlink_07_deg,ipb_interlink_07_deg,opb_interlink_08_deg,ipb_interlink_08_deg,opb_interlink_09_deg,ipb_interlink_09_deg,opb_interlink_10_deg,ipb_interlink_10_deg,opb_interlink_11_deg,ipb_interlink_11_deg,opb_interlink_12_deg,ipb_interlink_12_deg,opb_interlink_13_deg,ipb_interlink_13_deg,opb_interlink_14_deg,ipb_interlink_14_deg,opb_interlink_15_deg,ipb_interlink_15_deg,opb_interlink_16_deg,ipb_interlink_16_deg,opb_interlink_17_deg,ipb_interlink_17_deg,opb_interlink_18_deg,ipb_interlink_18_deg,opb_interlink_19_deg,ipb_interlink_19_deg,fairlead_x_m,fairlead_y_m,fairlead_z_m,line_length_m,fairlead_angle_in_plane_deg,fairlead_angle_out_of_plane_deg
0.0,1142.0476508077786,-0.036063667110973925,0.08515624456147912,-0.036063667110973925,0.08515624456147912,-0.010583671141698177,0.02356870933322308,-0.003204000990279084,0.007021024575153567,-0.000978821598620796,0.0021346166203052774,-0.00029985442458949036,0.0006529379859649832,-9.193637148510778e-05,0.00020008896985975746,-2.819760727848052e-05,6.135413026172579e-05,-8.648427639571093e-06,1.8816504048545423e-05,-2.6525406889472257e-06,5.770774079903078e-06,-8.135550644771965e-07,1.7698204402281034e-06,-2.4952372843636776e-07,5.427806296925244e-07,-7.65308870080202e-08,1.6646367261209555e-07,-2.347262283377894e-08,5.105221402844867e-08,-7.199233263979007e-09,1.5657032098876574e-08,-2.208046648696579e-09,4.8017735949363704e-09,-6.771772085082346e-10,1.4725363372824935e-09,-2.0753893935550967e-10,4.512670809235694e-10,-6.314310793160355e-11,1.3728754950970094e-10,-1.7701346019580893e-11,3.848456876922872e-11,41.212516336684665,1.0386318551317182,-13.694164521513645,817.88994811347,0.8873549227320301,-0.40179545224730195
0.5,1152.9097378465083,-0.0471002691636564,0.03924666399277354,-0.0471002691636564,0.03924666399277354,-0.01357127747534462,0.011415974874903648,-0.00407258059743704,0.0034349585991226513,-0.0012365212230035843,0.0010437630658853753,-0.00037675337331618625,0.0003181020892291003,-0.0001149144336952922,9.703367795391544e-05,-3.5065121741185374e-05,2.961007627608258e-05,-1.0700086044707071e-05,9.035590895576409e-06,-3.2651203155193383e-06,2.7572337899464756e-06,-9.96348125616901e-07,8.413769791046868e-07,-3.040346116031998e-07,2.567483480212373e-07,-9.277585043558077e-08,7.834741808495259e-08,-2.831045438335108e-08,2.3907914771252146e-08,-8.638901084497024e-09,7.295557328476373e-09,-2.6361350801877836e-09,2.226243922083665e-09,-8.043591077054732e-10,6.792977687978501e-10,-2.4526962969693946e-10,2.0713766454988242e-10,-7.42547701746211e-11,6.271114263690642e-11,-2.0728606662227075e-11,1.7506319624611074e-11,41.37847410584452,1.2432875626945297,-13.816987212730877,817.7006654710057,0.4372769236419048,-0.5190728329613002
1.0,1163.1994125231022,-0.05705824703321024,-0.0037004099652154813,-0.05705824703321024,-0.0037004099652154813,-0.016169134230806605,-0.0011212875732345485,-0.004813569464724613,-0.00034026074975931274,-0.0014531693742856583,-0.00010329940519152366,-0.0004405241516176513,-3.136624118187734e-05,-0.00013371100036445926,-9.524195200435354e-06,-4.060394392897606e-05,-2.8919720947879547e-06,-1.2330886271668131e-05,-8.781322118049091e-07,-3.7447287512692096e-06,-2.6664025659445036e-07,-1.1372251038191916e-06,-8.09639203306159e-08,-3.4536037774311636e-07,-2.4584271239799035e-08,-1.0488142544990819e-07,-7.464885433703205e-09,-3.1851114385499704e-08,-2.2666733305436253e-09,-9.672761122538389e-09,-6.88263128136799e-10,-2.9374731367229653e-09,-2.0898623655331193e-10,-8.920135764951731e-10,-6.34534170097347e-11,-2.7069994101320686e-10,-1.9253589874332323e-11,-8.157277923116657e-11,-5.801099564709729e-12,-2.2680839822538587e-11,-1.6127757272895524e-12,41.51553734565585,1.4341937001676905,-13.952175936242888,817.5367401102437,-0.043619546406623036,-0.6229575826782209
1.5,1172.4026644473734,-0.0656472015435198,-0.046939670065677876,-0.0656472015435198,-0.046939670065677876,-0.018337156425110367,-0.013407370580429208,-0.005421311970492912,-0.00398806777920688,-0.001628437286216533,-0.0012000859651337757,-0.0004914433314941261,-0.0003623742055890631,-0.0001485205190605661,-0.00010953460823128146,-4.4907567829512254e-05,-3.3122624006213426e-05,-1.3579646227328329e-05,-1.0016252169844395e-05,-4.106363372042354e-06,-3.0289057869499033e-06,-1.2417274985733804e-06,-9.159384278412384e-07,-3.7548727198297944e-07,-2.7697896943806617e-07,-1.1354398689499533e-07,-8.375819472067746e-08,-3.433468277375685e-08,-2.532840265122692e-08,-1.0382494936031586e-08,-7.659282434096037e-09,-3.1395551822602337e-09,-2.3161467324321168e-09,-9.493130954158718e-10,-7.003562461919034e-10,-2.8686437716328345e-10,-2.1163996644025548e-10,-8.60857378433288e-11,-6.351313316628335e-11,-2.385066274323094e-11,-1.759714868764822e-11,41.62211862434616,1.6038893529365952,-14.089099675761156,817.4021182745369,-0.5216383810238773,-0.7112078728502403
2.0,1180.0720716272288,-0.07273037690256269,-0.09171936797123491,-0.07273037690256269,-0.09171936797123491,-0.020076781089929975,-0.024762737093254498,-0.005902055119615553,-0.007237607961098592,-0.0017655143063423553,-0.002161383792079641,-0.0005308337879498398,-0.0006495231068223832,-0.00015984858872724152,-0.00019555555796868667,-4.816060245460908e-05,-5.891370286503673e-05,-1.451172793796916e-05,-1.7751411695742987e-05,-4.372666391296953e-06,-5.3487151860425735e-06,-1.3175695858744317e-06,-1.611632620065321e-06,-3.9700938912626835e-07,-4.856044134658851e-07,-1.196266642083299e-07,-1.463184863388471e-07,-3.604584315808999e-08,-4.408752869153321e-08,-1.0861309329073084e-08,-1.3284099156125637e-08,-3.2727057992046053e-09,-4.002637420813414e-09,-9.860690637758295e-10,-1.2059685766386567e-09,-2.969196635166052e-10,-3.6312571704469804e-10,-8.879662647548231e-11,-1.0859358530889592e-10,-2.452907754159545e-11,-2.999714678536781e-11,41.69910151277691,1.7460603322190122,-14.217232966641207,817.2983087380176,-0.9632887222679353,-0.7830684885830665
2.5,1185.8548239583913,-0.07830124611051903,-0.13393068529034308,-0.07830124611051903,-0.13393068529034308,-0.021417916569472784,-0.034371982812618024,-0.006269281751519185,-0.009901552283924874,-0.0018695216534468891,-0.002939164195499836,-0.0005605354364779966,-0.0008800113910339005,-0.0001683365288971781,-0.0002641570353994496,-5.0582025439709825e-05,-7.935618216448196e-05,-1.5200726743561113e-05,-2.3846261291784747e-05,-4.568067243722429e-06,-7.165719948779486e-06,-1.3727789922909298e-06,-2.153274332988951e-06,-4.1254256126933e-07,-6.470515711651886e-07,-1.23975793051416e-07,-1.9443678297267828e-07,-3.7256753850802076e-08,-5.8427585643502546e-08,-1.1196258990520303e-08,-1.75572810683422e-08,-3.3646406827115e-09,-5.2758739773104994e-09,-1.0110684472048837e-09,-1.5852862552978719e-09,-3.036390387587198e-10,-4.760540442992396e-10,-9.057100947850807e-11,-1.4199075747278995e-10,-2.496360840090868e-11,-3.913401691431264e-11,41.74963244891434,1.8558734206479148,-14.326918639621795,817.224415285795,-1.3376360361989716,-0.8389256905716227
3.0,1189.514803111046,-0.08243793772983363,-0.16853175263295375,-0.08243793772983363,-0.16853175263295375,-0.022403898555950406,-0.04156864632250093,-0.006538979817097791,-0.011849079460903635,-0.001946014632868192,-0.003502705273216467,-0.0005824320981491118,-0.001046203607681047,-0.00017461296492333613,-0.0003134401243246159,-5.2379020671023766e-05,-9.399213890484432e-05,-1.5714230387357564e-05,-2.8195889710968175e-05,-4.714426377196019e-06,-8.458241369933339e-06,-1.4143750930087466e-06,-2.537314757684119e-06,-4.243266822188973e-07,-7.611471340710055e-07,-1.2730225067200284e-07,-2.283299523271919e-07,-3.819194752597178e-08,-6.84947269056214e-08,-1.1457960906282857e-08,-2.054713143047101e-08,-3.4374843674991814e-09,-6.163723195168236e-09,-1.0312180748866881e-09,-1.8488916336449476e-09,-3.091704768273078e-10,-5.542652381369754e-10,-9.206994526448155e-11,-1.6504303265874407e-10,-2.534106321253971e-11,-4.5422346240817745e-11,41.77864846017916,1.9302274795313639,-14.410017967362785,817.1774536633181,-1.6184610514241116,-0.8798426802851178
3.5,1190.9473315135594,-0.08525290362026927,-0.1905558587376462,-0.08525290362026927,-0.1905558587376462,-0.02307824107646689,-0.04587658736113547,-0.006725803374072644,-0.012999232925473272,-0.001999829776467991,-0.00383456665781238,-0.0005981034357774226,-0.001144072087083989,-0.00017918929846693553,-0.0003424870341913508,-5.371586999522763e-05,-0.00010262836892603707,-1.6104652429135284e-05,-3.076557689216346e-05,-4.828365060142916e-06,-9.222848522496157e-06,-1.4476008878913972e-06,-2.764808707238949e-06,-4.340078482367224e-07,-8.288293109187392e-07,-1.3012067975935644e-07,-2.484649379527989e-07,-3.901171533089928e-08,-7.448436262666036e-08,-1.1696167536591668e-08,-2.2328775701954767e-08,-3.5066305083811607e-09,-6.693643958387579e-09,-1.051266806925648e-09,-2.0064893108194707e-09,-3.149738274730775e-10,-6.011042854315924e-10,-9.373795362226244e-11,-1.788724695590409e-10,-2.5785918450525967e-11,-4.9200547025395015e-11,41.79223381099864,1.967908571498616,-14.460421120211889,817.1528674132908,-1.7860788929376843,-0.907110847108138
4.0,1190.1856637601438,-0.08685486591030729,-0.196450568670253,-0.08685486591030729,-0.196450568670253,-0.023476075509855174,-0.047017284196415154,-0.006840764998588661,-0.013308280866223533,-0.002034427194201615,-0.003925552268604566,-0.0006086358237910147,-0.001171486731972681,-0.00018240571239616036,-0.00035080240958926,-5.469875700723739e-05,-0.00010515521197118245,-1.6405030886456214e-05,-3.153378166410193e-05,-4.92013078736481e-06,-9.456393981997045e-06,-1.4756258085248777e-06,-2.8357964831078587e-06,-4.425637488549756e-07,-8.504025642933902e-07,-1.3273193649112964e-07,-2.5501989414732635e-07,-3.980842607117275e-08,-7.647571464655527e-08,-1.1939177003254154e-08,-2.293363174981015e-08,-3.580730648932479e-09,-6.877332297120067e-09,-1.0738543918910028e-09,-2.0622612192658957e-09,-3.2185276468305943e-10,-6.180244139195597e-10,-9.581750836216629e-11,-1.8396894813887618e-10,-2.6365636661431318e-11,-5.061692505410941e-11,41.796925515986615,1.9696419807896317,-14.474411009433155,817.1451260443505,-1.828698132176917,-0.9219380499970811
4.5,1187.3988126223014,-0.0873343371564099,-0.18516845897265727,-0.0873343371564099,-0.18516845897265727,-0.023621857322094243,-0.04490348617543836,-0.006890762605159129,-0.012759308988255185,-0.00205178680083406,-0.0037710649510473964,-0.0006146010656308345,-0.0011270542317634493,-0.00018442776497905997,-0.00033795137408366364,-5.53756909822797e-05,-0.00010143537607799963,-1.6629305648622747e-05,-3.0457725708063802e-05,-4.99377617594741e-06,-9.145490184668231e-06,-1.499629691216153e-06,-2.7461009899234056e-06,-4.5033840738549665e-07,-8.245671354526623e-07,-1.3523650648572984e-07,-2.4759138906787086e-07,-4.061148601857717e-08,-7.434384749747126e-08,-1.2195612746662978e-08,-2.2323091417112865e-08,-3.6623194365414075e-09,-6.702880810992302e-09,-1.0997273842379546e-09,-2.01254179456192e-09,-3.3002747353671555e-10,-6.038995084589716e-10,-9.837332631753586e-11,-1.7998972635919703e-10,-2.7097810288337598e-11,-4.957545490847253e-11,41.799086807967,1.938039860996603,-14.450884728002428,817.1482874081041,-1.7432310440511622,-0.9253506286749092
